14,888,1560,2192,1,109,75,764,112,976,3533,4924,2240,3007,23,783,0,1935,2454,3149,331,2202,2,4,3,1535,15493
603,5,24,10,1104,0,0,3,486,37,32,364,3,178,1260,0,0,689,42,12,659,6,0,0,2145,16,57
545,0,30,0,3669,0,0,4437,3027,0,923,309,16,704,1268,14,1,7,4,330,121,18,0,0,8,0,999
1935,80,157,39,3195,2,0,39,1636,22,156,920,91,1082,2722,132,0,738,195,102,649,406,2,0,1428,29,1440
43,1111,2537,2974,4,88,97,1314,25,1875,1916,3719,3352,4126,108,674,0,2080,2368,2022,81,933,3,93,1,1983,20471
122,0,0,0,54,58,0,0,238,1,1,52,0,10,101,0,0,54,0,54,29,0,0,0,11,0,37
101,0,0,5,102,0,0,6,66,0,0,15,5,27,50,0,0,104,0,0,35,1,0,0,10,0,44
1192,6,191,25,436,0,0,0,44,0,30,2045,107,610,3336,0,0,907,8,281,545,279,0,0,439,13,1656
109,175,2749,931,239,15,49,319,82,258,1355,3018,1833,2180,59,174,1,581,2000,2223,32,1369,4,5,0,705,11626
2099,13,42,357,4333,1,0,12,2334,5,20,32,206,198,48,14,0,10,1110,119,63,66,0,0,0,13,412
2837,0,122,1115,1064,1,0,25,31,0,22,1274,33,405,4645,7,0,1354,73,751,1406,142,0,0,1358,53,2956
4893,25,119,38,4461,9,2,83,2965,0,282,35,239,687,2702,8,0,1,101,88,807,15,9,0,864,145,6161
1841,25,62,10,1913,1,0,39,2163,2,112,354,8,662,1031,69,0,255,108,36,1701,7,0,0,484,86,5241
6059,12,799,140,9613,19,48,11,4414,3,343,8,2,107,2564,0,1,0,255,357,969,15,0,0,1756,154,2308
8,1187,1434,2062,11,61,56,1292,22,606,2230,1440,1425,1714,28,1961,0,1640,2127,1275,3854,3269,4,11,2,1792,10160
2589,1,30,0,799,3,0,3,740,18,34,589,1,88,4357,0,0,5700,204,248,437,2,0,0,120,0,1048
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
4484,25,289,246,3616,3,46,194,3132,6,355,90,100,651,4707,75,0,45,632,381,1550,308,7,0,916,213,1016
875,23,230,6,6817,11,1,60,2822,14,1479,1514,554,755,1009,717,0,107,71,6042,380,958,1,0,216,1,2116
4053,10,41,2,5581,1,1,15,3035,5,341,419,113,628,4604,11,0,2112,102,64,1280,464,0,0,932,3,3643
21,429,998,1057,12,88,6,446,7,686,762,621,457,267,2,466,0,347,1688,982,5,393,10,2,0,1162,7239
3507,4,110,81,3865,0,0,6,2589,2,120,411,4,613,1269,27,0,627,775,60,519,2,0,0,2238,524,1509
19,0,0,1,4,0,0,10,29,0,0,0,0,2,2,0,0,0,1,1,2,0,0,0,1,0,7
2,0,2,0,4,0,0,0,14,0,0,0,0,1,8,43,0,0,0,32,4,3,0,0,0,0,12
2,428,1140,171,4,2,5,121,1,53,236,885,903,276,3,187,0,223,948,487,2,174,1,0,0,374,6384
3123,197,106,736,2895,2,1,140,1531,46,528,325,201,1176,396,366,0,238,102,261,403,471,0,0,69,21,2286
7228,3087,3657,4992,202,348,183,2810,546,6887,4859,1375,4317,9792,3367,11272,3,3328,11406,8097,2283,7356,36,10,9,6794,0
